IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort	RemediationPath	RemediationAssessment
41	Screen Reader / ARIA	Missing alt text on images	"Images throughout ServiceNow Service Portal (logos, icons, charts, catalog item images, search result thumbnails, and widget graphics) have no alt attribute or empty alt="""", violating WCAG 1.1.1 Non-text Content. Screen reader users hear nothing or generic filenames, losing all context and meaning."	"Every meaningful image has a descriptive alt attribute; decorative images have alt="""" and are aria-hidden."	"Run axe-core/WAVE on any page with images in litmus widget or real portal; confirm zero ""missing alt"" violations and all images are announced correctly."	Add alt text via widget HTML templates or CSS ::after pseudo-content fallback with aria-label in core-overrides	Global rule img:not([alt]) { content: attr(title) or default description } with note for content team	a11y.scss rule enforcing aria-hidden on decorative images	Portal-wide image template standardization in Theme	Medium	Not remediated — requires JS/ServiceNow (alt attributes in widget/server-side HTML; CSS cannot supply meaningful alt)	Not remediated | JS/ServiceNow | alt attributes on images require widget/server HTML. CSS cannot provide meaningful alt per WCAG 1.1.1.
42	Screen Reader / ARIA	Decorative images with empty alt	"Decorative icons and background images (e.g. chevrons, glyphs, spacer GIFs) have alt="""" but are still announced or have no aria-hidden, causing screen readers to read unnecessary noise and clutter, violating WCAG 1.1.1."	"All purely decorative images are completely silent to screen readers (alt="""" + aria-hidden=""true"" or CSS background)."	Scan page with NVDA/JAWS in litmus widget; confirm no announcement of decorative icons.	"Add aria-hidden=""true"" to all glyphicon and decorative img in core-overrides"	CSS rule .glyphicon { aria-hidden:true via attribute }	a11y.scss block targeting all known decorative classes	Theme record CSS for global decorative image hiding	Low	Not remediated — requires JS/ServiceNow (aria-hidden on decorative images in widget templates)	Not remediated | JS/ServiceNow | aria-hidden on decorative images requires widget template attributes.
43	Screen Reader / ARIA	Alt text not descriptive	"Existing alt text on images is generic (e.g. ""image"", ""icon"", ""photo"") instead of meaningful context (e.g. ""ServiceNow logo - Vancouver release""), violating WCAG 1.1.1 and 4.1.2."	All alt text is concise, unique, and describes purpose/context (max 125 chars).	Read aloud with screen reader on every image in litmus widget; confirm meaningful announcement.	Update widget HTML with descriptive alt templates in core-overrides comments	CSS pseudo + title fallback for images	a11y.scss rule with aria-describedby for complex images	Content audit + Theme image guidelines	Medium	Not remediated — requires JS/ServiceNow (descriptive alt text is content/widget authoring)	Not remediated | JS/ServiceNow | Descriptive alt text is content authoring in ServiceNow widget HTML.
44	Screen Reader / ARIA	Duplicate ARIA labels on buttons	"Multiple buttons have identical aria-label or title (e.g. multiple ""Close"" or ""Edit"" buttons on page), violating WCAG 4.1.2 and causing screen reader confusion on which action is intended."	"Every button has unique, context-aware accessible name (e.g. ""Close ticket XYZ-123"")."	Tab through page with screen reader; confirm no duplicate announcements.	Add data-specific aria-label via JS or widget variables in core	CSS attribute selector for buttons + unique title	a11y.scss enforcement with !important aria-label patterns	Theme script for dynamic button labeling	Medium	Not remediated — requires JS/ServiceNow (context-specific aria-label generation per record/action)	Not remediated | JS/ServiceNow | Context-specific unique aria-labels require JS or widget variables per record.
45	Screen Reader / ARIA	Missing role on custom components	"Custom ServiceNow widgets (cards, tiles, accordions, tabs) lack role=""button"", role=""tab"", role=""region"", etc., violating WCAG 4.1.2 Name, Role, Value and making them invisible or misannounced to screen readers."	Every custom interactive component has correct ARIA role and matching states.	Inspect custom widgets in litmus with axe-core; confirm zero missing-role violations.	Add role attributes via broad CSS selector + JS polyfill in core-overrides	CSS vars for ARIA states	Full a11y.scss block with role mappings for common widgets	Theme-level widget ARIA template standard	Medium	Not remediated — requires JS/ServiceNow (ARIA roles on custom widget components)	Not remediated | JS/ServiceNow | ARIA roles on custom widgets require widget HTML markup.
46	Screen Reader / ARIA	ARIA landmark missing (main, navigation)	Service Portal pages lack <main>, <nav>, <banner>, or other ARIA landmark roles (or have duplicate/misplaced ones), violating WCAG 1.3.1 and 4.1.2. Screen reader users cannot quickly jump to main content or navigation sections, leading to frustration and lost orientation.	"Every page has exactly one role=""main"", one role=""navigation"", and other landmarks where appropriate with unique labels."	Run axe-core on any page; confirm zero landmark violations and screen reader landmark menu shows correct sections.	"Add role=""main"" id=""main-content"" and role=""navigation"" to portal containers in core-overrides HTML comments"	CSS selector rule to enforce landmark classes	a11y.scss block with aria-label for landmarks	Theme record with landmark HTML snippets	Low	Not remediated — requires JS/ServiceNow (landmark roles and main/nav markup in portal layout widgets)	Not remediated | JS/ServiceNow | Landmark roles (main, nav, banner) require portal layout widget HTML.
47	Screen Reader / ARIA	Live regions not announced properly	"Dynamic updates (notifications, AJAX results, form errors) are not wrapped in aria-live=""polite"" or ""assertive"", violating WCAG 4.1.3 and 2.4.3. Screen reader users miss real-time changes in tickets, catalog, or dashboards."	All dynamic status areas are wrapped in proper aria-live regions and announce changes immediately.	Trigger a notification or form error in litmus widget; confirm screen reader announces it instantly.	"Add aria-live=""polite"" to alert and status divs in core-overrides"	CSS var + role for live regions	a11y.scss rule enforcing aria-live on known dynamic classes	Theme script include for dynamic live region management	Medium	Not remediated — requires JS/ServiceNow (aria-live regions on dynamic status containers)	Not remediated | JS/ServiceNow | aria-live on dynamic regions requires widget HTML or Theme JS.
48	Screen Reader / ARIA	Modal not announced on open	"Modals open without aria-modal=""true"", role=""dialog"", or title announcement, violating WCAG 4.1.2 and 2.4.3. Screen reader users are not told a dialog opened or what it is for."	Every modal announces itself on open, traps focus, and has proper role + title.	Open modal in litmus widget with screen reader; confirm announcement and focus trap.	"Add aria-modal=""true"" role=""dialog"" aria-labelledby in core-overrides"	CSS rule for modal announcement styling	Full a11y.scss modal ARIA block	Theme JS Include for modal open announcement	Medium	Not remediated — requires JS/ServiceNow (aria-modal, role=dialog, focus trap on modal open)	Not remediated | JS/ServiceNow | aria-modal, role=dialog, focus trap require widget HTML + JS on modal open.
49	Screen Reader / ARIA	Form labels not associated (for/id)	Form inputs lack matching for/id attributes on <label> tags (common in Bootstrap and custom widgets), violating WCAG 1.3.1 and 3.3.2. Screen readers do not associate labels with fields.	Every form control has a correctly associated label via for/id or aria-labelledby.	Tab through form in litmus widget with screen reader; confirm every input announces its label correctly.	Add for/id pairing via widget templates in core-overrides	CSS pseudo for label association fallback	a11y.scss rule enforcing label association	Theme form standardization	Low	Not remediated — requires JS/ServiceNow (label for/id pairing in form widget HTML)	Not remediated | JS/ServiceNow | label for/id pairing requires ServiceNow form widget templates.
50	Screen Reader / ARIA	Placeholder used instead of label	Many inputs rely only on placeholder text without a persistent <label>, violating WCAG 3.3.2 and 1.3.1. When placeholder disappears on focus, screen readers and low-vision users lose context.	All inputs have persistent visible labels; placeholder is supplementary only.	Focus an input in litmus widget; confirm label remains and is announced correctly.	Override .form-control with associated label requirement note in core	CSS var + label display enforcement	a11y.scss rule removing placeholder-only patterns	Theme-wide form label template enforcement	Low	Not remediated — requires JS/ServiceNow (persistent visible labels in widget templates)	Not remediated | JS/ServiceNow | Persistent visible labels require form widget HTML — placeholder-only inputs not fixable via CSS.
51	Screen Reader / ARIA	Required fields only marked with *	"Required fields are marked only with a red asterisk (*) without the word ""required"" or aria-required=""true"", violating WCAG 3.3.2 Labels or Instructions and 1.3.1. Screen reader users and low-vision users do not know a field is mandatory until submission error."	"Every required field clearly indicates ""required"" in visible text + aria-required=""true"" + * is supplementary."	"Focus any required field in litmus widget or catalog form with screen reader; confirm announcement includes ""required""."	"Add aria-required=""true"" and visible ""(required)"" text span in core-overrides widget templates"	CSS rule to style and show required indicator persistently	a11y.scss block enforcing aria-required on all * elements	Theme form field template standardization	Low	Not remediated — requires JS/ServiceNow (aria-required and visible 'required' text in form widgets)	Not remediated | JS/ServiceNow | aria-required and visible 'required' text require form widget templates.
52	Screen Reader / ARIA	Error messages not linked to controls	Form error messages appear but are not associated with the failing input via aria-describedby or aria-invalid, violating WCAG 3.3.1 Error Identification and 3.3.3 Error Suggestion. Screen readers do not connect the error to the field.	"Every error message is linked via aria-describedby and the input has aria-invalid=""true"" when erroneous."	Submit invalid form in litmus widget; confirm screen reader reads error immediately after the field.	Add aria-describedby pointing to error ID in core-overrides	CSS var + aria-invalid styling	a11y.scss rule enforcing error association	Theme script include for dynamic form error linking	Medium	Not remediated — requires JS/ServiceNow (aria-describedby/aria-invalid linking on form validation)	Not remediated | JS/ServiceNow | aria-describedby/aria-invalid on validation require form JS or widget templates.
53	Screen Reader / ARIA	Table missing caption or summary	"Data tables lack <caption> or aria-labelledby summary, violating WCAG 1.3.1 and 4.1.2. Screen reader users have no overview of what the table contains (e.g. ""Incident list"" or ""My tickets"")."	Every data table has a visible or aria-hidden caption that describes its purpose.	"Run axe-core on any table in litmus widget; confirm zero ""table missing caption"" violations."	Add <caption> or aria-labelledby in table HTML templates in core-overrides	CSS rule to style caption visibly when needed	a11y.scss block enforcing table summary	Theme list/table widget standardization	Low	Not remediated — requires JS/ServiceNow (<caption> or aria-labelledby in table widget HTML)	Not remediated | JS/ServiceNow | table <caption> or aria-labelledby require table widget HTML.
54	Screen Reader / ARIA	Table headers missing scope	"Table <th> elements lack scope=""col"" or scope=""row"", violating WCAG 1.3.1. Screen readers cannot correctly associate headers with cells in complex data tables."	"Every table header has explicit scope=""col"" or scope=""row"" and complex tables use id/headers pairing."	Inspect any table in litmus widget with axe-core; confirm zero scope violations.	Override table th with scope attributes via template notes in core-overrides	CSS rule for header styling	a11y.scss enforcement block for all tables	Theme table component template update	Low	Not remediated — requires JS/ServiceNow (th scope attributes in table templates)	Not remediated | JS/ServiceNow | th scope attributes require table widget HTML templates.
55	Screen Reader / ARIA	Duplicate IDs in page	Multiple elements share the same ID (common in repeated widgets or Bootstrap components), violating WCAG 4.1.2 and causing screen readers/JS to reference the wrong element.	All IDs on the page are unique; no duplicate ID warnings.	"Run axe-core on any page; confirm zero ""duplicate ID"" violations."	Add unique ID prefixes via widget variables in core-overrides	CSS selector rule to flag duplicates (for dev)	a11y.scss note + JS ID uniqueness check	Theme script include for ID deduplication	Low	Not remediated — requires JS/ServiceNow (unique IDs across repeated widgets)	Not remediated | JS/ServiceNow | Unique IDs across repeated widgets require widget variable prefixes or JS dedup.
56	Screen Reader / ARIA	ARIA hidden misused	"Elements that should be hidden from screen readers (e.g. collapsed panels, loading spinners) are not marked with aria-hidden=""true"", or visible elements are incorrectly hidden, violating WCAG 4.1.2 and causing incorrect announcements or missed content."	"All hidden elements have aria-hidden=""true"" when not visible and visible elements have no erroneous aria-hidden."	Toggle collapsed sections or loading states in litmus widget with screen reader; confirm only visible content is announced.	"Add aria-hidden=""true"" to collapsed/ hidden classes in core-overrides"	CSS rule for dynamic visibility states	a11y.scss block enforcing correct aria-hidden usage	Theme script for dynamic ARIA hidden management	Medium	Not remediated — requires JS/ServiceNow (dynamic aria-hidden toggling on show/hide)	Not remediated | JS/ServiceNow | Dynamic aria-hidden toggling requires JS on show/hide interactions.
57	Screen Reader / ARIA	"Role=""button"" on non-interactive"	"Non-clickable elements (static text, images, or divs) have role=""button"" applied incorrectly, violating WCAG 4.1.2 and confusing screen readers into expecting interactivity."	"No non-interactive elements have role=""button""; only true buttons have the role."	"Run axe-core on page; confirm zero ""role on non-interactive"" violations."	"Remove erroneous role=""button"" via broad selector in core-overrides"	CSS rule to override invalid roles	a11y.scss enforcement with role correction	Theme widget HTML cleanup standard	Low	Not remediated — requires JS/ServiceNow (remove erroneous role=button from static elements in widget HTML)	Not remediated | JS/ServiceNow | Remove erroneous role=button from static elements in widget HTML cleanup.
58	Screen Reader / ARIA	Progressbar ARIA values missing	"Progress bars lack aria-valuenow, aria-valuemin, aria-valuemax, or aria-labelledby, violating WCAG 4.1.2. Screen readers announce only ""progress bar"" without percentage or context."	Every progress bar has complete ARIA value attributes and label.	Inspect progress bars in litmus widget with screen reader; confirm full announcement of value and label.	Add aria-valuenow etc. via JS polyfill or template in core-overrides	CSS rule with ARIA attributes for progress	a11y.scss block enforcing progressbar ARIA	Theme script include for progress ARIA	Medium	Not remediated — requires JS/ServiceNow (aria-valuenow/min/max on progressbar elements)	Not remediated | JS/ServiceNow | aria-valuenow/min/max on progressbar require widget HTML or JS polyfill.
59	Screen Reader / ARIA	Accordion expand/collapse not announced	Accordion panels do not announce expanded/collapsed state or use proper heading/role, violating WCAG 4.1.2 and 2.4.3. Screen reader users cannot tell if sections are open or closed.	"Every accordion announces state change and has proper role=""region"" + aria-expanded."	Expand/collapse accordions in litmus widget with screen reader; confirm clear announcement.	Add aria-expanded and role attributes in core-overrides templates	CSS var + focus for accordion headers	Full a11y.scss accordion ARIA block	Theme accordion widget standardization	Low	Not remediated — requires JS/ServiceNow (accordion aria-expanded and region roles)	Not remediated | JS/ServiceNow | accordion aria-expanded and role=region require widget HTML.
60	Screen Reader / ARIA	Breadcrumb ARIA navigation	"Breadcrumbs lack role=""navigation"" aria-label=""Breadcrumb"" or proper list structure, violating WCAG 4.1.2 and 1.3.1. Screen readers treat them as plain links without context."	"Breadcrumbs have role=""navigation"" aria-label=""Breadcrumb"" and are marked as list."	Tab through breadcrumbs in litmus widget with screen reader; confirm landmark and context announcement.	"Add role=""navigation"" aria-label in core-overrides"	CSS rule for breadcrumb styling	a11y.scss enforcement block	Theme breadcrumb component update	Low	Not remediated — requires JS/ServiceNow (breadcrumb role=navigation aria-label in widget markup)	Not remediated | JS/ServiceNow | breadcrumb role=navigation aria-label requires widget markup.
61	Screen Reader / ARIA	Search results count not live	Search result count (e.g. 'Showing 1-20 of 245 results') updates dynamically but lacks aria-live or role=status, violating WCAG 4.1.3 Status Messages. Screen reader users miss when results change after filtering or searching.	Dynamic result counts are announced automatically to screen readers using proper live region.	Perform a search or filter in litmus widget; confirm screen reader announces new count without manual refresh.	Add aria-live='polite' role='status' to result count elements in core-overrides	CSS var + live region class	a11y.scss rule enforcing live regions on search counters	Theme search widget template with ARIA	Low	Not remediated — requires JS/ServiceNow (aria-live/role=status on dynamic search result counts)	Not remediated | JS/ServiceNow | aria-live/role=status on search counts requires search widget HTML or JS.
62	Screen Reader / ARIA	Knowledge article ratings not labeled	"Rating stars or thumbs in knowledge articles lack aria-label or role, violating WCAG 4.1.2. Screen readers announce only ""star"" without context like ""Rate this article 4 out of 5""."	All rating components have descriptive aria-labels and roles.	Interact with rating in knowledge article via screen reader in litmus; confirm full context announcement.	"Add aria-label=""Rate this article"" to rating elements in core"	CSS rule for star styling with ARIA	a11y.scss block for rating widgets	Theme knowledge article widget update	Low	Not remediated — requires JS/ServiceNow (aria-label on knowledge rating controls)	Not remediated | JS/ServiceNow | aria-label on rating controls requires knowledge article widget HTML.
63	Screen Reader / ARIA	Catalog cart items announcement	Shopping cart items in service catalog do not announce added/removed items with aria-live, violating WCAG 4.1.3. Users miss cart status changes.	"Cart changes announce ""Item added to cart: Laptop - Quantity 1"" etc."	Add item to cart in litmus; confirm announcement.	Add aria-live to cart badge and status in core-overrides	CSS for cart elements	a11y.scss enforcement for catalog cart	Theme cart widget script	Medium	Not remediated — requires JS/ServiceNow (aria-live cart announcements in catalog widgets)	Not remediated | JS/ServiceNow | aria-live cart announcements require catalog widget JS/HTML.
64	Screen Reader / ARIA	Notification messages not announced	"System notifications and toast messages lack live regions, violating WCAG 4.1.3. Screen reader users miss important alerts like ""Ticket submitted successfully""."	"All notifications are announced via aria-live=""assertive""."	Trigger notification in litmus; confirm immediate announcement.	"Add aria-live=""assertive"" to notification container in core"	CSS var for notification styling	a11y.scss rule for all .alert and toast	Theme notification component standardization	Low	Partially remediated — a11y.scss styles [role=alert] visually; aria-live assertive requires widget/JS markup	Partially remediated | a11y.scss + JS/ServiceNow | a11y.scss styles [role=alert] border only; aria-live=assertive requires notification widget markup.
65	Screen Reader / ARIA	Screen reader reads raw HTML in widgets	Custom widgets contain raw HTML comments or script tags that screen readers vocalize, violating WCAG 4.1.2 and causing garbled output.	No raw HTML or comments are read by screen readers (hidden properly).	Inspect widget with screen reader in litmus; confirm clean output only.	Add aria-hidden or comment removal in core-overrides	CSS to hide debug elements	a11y.scss cleanup rules	Theme widget HTML sanitization	Low	Not remediated — requires JS/ServiceNow (widget HTML sanitization; CSS cannot suppress screen reader reading of raw markup)	Not remediated | JS/ServiceNow | Widget HTML sanitization to prevent screen readers reading raw markup requires ServiceNow template fixes.
66	Forms & Inputs	Missing labels on text inputs	"Text inputs in forms lack associated <label>, violating WCAG 3.3.2 and 1.3.1. Screen readers and low-vision users have no context for fields like ""Incident number""."	Every text input has a persistent visible label correctly associated.	Focus any text input in litmus with screen reader; confirm label is announced.	"Add explicit <label for=""id""> in widget templates in core"	CSS rule for label visibility	a11y.scss enforcement block	Theme form field template update	Low	Not remediated — requires JS/ServiceNow (<label for> in ServiceNow form/catalog widget templates)	Not remediated | JS/ServiceNow | label for/id in form widget templates.
67	Forms & Inputs	Select dropdowns unlabeled	"Select dropdowns lack labels or use placeholder only, violating WCAG 3.3.2. Users don't know what the dropdown selects (e.g. ""Category"")."	Every select has a visible label and aria-labelledby.	Focus select in litmus; confirm label announcement.	Add label and aria-labelledby in core-overrides templates	CSS for dropdown styling	a11y.scss rule for selects	Theme select component standardization	Low	Not remediated — requires JS/ServiceNow (select labels/aria-labelledby in widget HTML)	Not remediated | JS/ServiceNow | select labels/aria-labelledby in widget HTML.
68	Forms & Inputs	Checkbox groups without fieldset/legend	Checkbox groups lack <fieldset> and <legend>, violating WCAG 1.3.1 and 3.3.2. Screen readers treat them as unrelated items without group context.	All checkbox groups wrapped in fieldset with legend.	Tab through checkbox group in litmus; confirm group context announced.	Add fieldset/legend in form templates in core	CSS for fieldset styling	a11y.scss enforcement	Theme form group template	Low	Not remediated — requires JS/ServiceNow (fieldset/legend wrapping in form widgets)	Not remediated | JS/ServiceNow | fieldset/legend in form widgets.
69	Forms & Inputs	Radio buttons poor grouping	Radio button groups lack proper grouping and labels, violating WCAG 1.3.1. Users cannot understand the group purpose.	Radio groups have fieldset/legend and individual labels.	Tab through radio group in litmus; confirm clear grouping.	Add fieldset for radios in core-overrides	CSS rule for group	 a11y.scss block	Theme radio template	Low	Not remediated — requires JS/ServiceNow (radio group fieldset/legend in form widgets)	Not remediated | JS/ServiceNow | radio group fieldset/legend in form widgets.
70	Forms & Inputs	Small touch targets (<44px)	Buttons, links, and form controls have touch targets smaller than 44x44px, violating WCAG 2.5.5 Target Size (AAA). Mobile users with motor impairments struggle to tap accurately.	All interactive elements have minimum 44px touch target.	Inspect buttons/inputs in litmus on mobile emulator; measure and confirm >=44px.	Add min-height: 44px; padding to all buttons/inputs in core-overrides	CSS var for touch size	a11y.scss !important for small elements	Theme global button/input sizing	Medium	Not remediated — addressable in a11y.scss	Not remediated | a11y.scss | Pending v0.2.0 implementation.
71	Forms & Inputs	Error states not clearly associated	Error states on fields show red borders but no associated message or aria-invalid, violating WCAG 3.3.1.	Errors are visually distinct + associated via ARIA.	Submit invalid form; confirm error is clearly linked to field.	Add aria-invalid + aria-describedby in core-overrides	CSS vars for error styling	a11y.scss comprehensive error block	Theme form validation enhancement	Medium	Partially remediated — extend a11y.scss (error border styling); aria-invalid/aria-describedby requires JS/ServiceNow	Partially remediated | a11y.scss + JS/ServiceNow | a11y.scss can style error borders; aria-invalid/aria-describedby require form validation JS/templates.
72	Forms & Inputs	Autocomplete not properly set	Form inputs that support autocomplete lack autocomplete attribute, violating WCAG 1.3.5 Identify Input Purpose.	All applicable inputs have correct autocomplete values.	Inspect form fields; confirm autocomplete attributes present where appropriate.	Add autocomplete attributes via templates in core-overrides	CSS note for developers	a11y.scss guidance block	Theme form field standard	Low	Not remediated — requires JS/ServiceNow (autocomplete attributes on inputs in widget templates)	Not remediated | JS/ServiceNow | autocomplete attributes require input widget HTML templates.
73	Forms & Inputs	Date fields lack proper type/role	Date fields use text input instead of type='date' or proper ARIA, violating WCAG 1.3.1 and 4.1.2.	Date inputs use semantic type='date' or enhanced ARIA.	Test date fields in litmus widget; confirm proper announcement and picker.	Enforce type='date' where possible + ARIA fallback in core	CSS rule for date styling	a11y.scss date component block	Theme date picker widget	Low	Not remediated — requires JS/ServiceNow (type=date or ARIA date semantics in widget HTML/JS)	Not remediated | JS/ServiceNow | type=date or ARIA date semantics require widget HTML/JS.
74	Forms & Inputs	File upload no accessible name	File upload controls lack proper accessible name, violating WCAG 4.1.2.	File upload has clear label and button name.	Interact with file upload in litmus widget; confirm accessible name.	Add label and aria-label to file inputs in core-overrides	CSS styling for file upload	a11y.scss file input enforcement	Theme file upload standardization	Low	Not remediated — requires JS/ServiceNow (accessible name on file upload via label/aria-label)	Not remediated | JS/ServiceNow | file upload accessible name via label/aria-label in widget HTML.
75	Forms & Inputs	Multi-select poor announcement	Multi-select controls do not announce selected items properly to screen readers.	Multi-select announces current selection clearly.	Test multi-select in litmus widget; confirm proper announcement.	Add aria-multiselectable and live updates in core-overrides	CSS var for multi-select	a11y.scss multi-select block	Theme choice list enhancement	Medium	Not remediated — requires JS/ServiceNow (aria-multiselectable and live region updates on multi-select)	Not remediated | JS/ServiceNow | aria-multiselectable and live updates on multi-select require widget JS.
76	Images & Non-Text	Missing alt on logo	The main portal logo image lacks meaningful alt text, violating WCAG 1.1.1.	Logo has alt='[Company] Portal Home' or similar.	Inspect logo with screen reader; confirm meaningful announcement.	Set proper alt text on logo in core-overrides header	CSS fallback aria-label	a11y.scss logo rule	Theme header widget fix	Low	Not remediated — requires JS/ServiceNow (logo alt text in header widget HTML)	Not remediated | JS/ServiceNow | Logo alt in header widget HTML. No .logo rules in repo.
77	Images & Non-Text	Chart images without data table alternative	Charts are images without data table alternative, violating WCAG 1.1.1 and 1.4.5.	Every chart has a data table alternative or accessible version.	Inspect chart widgets; confirm alternative exists.	Add hidden data table or aria-describedby in core-overrides	CSS rule to style alternative table	a11y.scss chart accessibility block	Theme dashboard widget update	Medium	Not remediated — requires JS/ServiceNow (chart data table alternative in dashboard widget markup)	Not remediated | JS/ServiceNow | Chart data table alternative in dashboard widget markup.
78	Images & Non-Text	Icon fonts without text equivalent	Glyphicon / icon font icons have no text equivalent, violating WCAG 1.1.1.	All icon fonts have aria-hidden + accompanying visible text or aria-label.	Test icon-only areas; confirm no meaningless announcements.	Apply aria-hidden to icon fonts in core-overrides	CSS rule for icons	a11y.scss icon font cleanup	Theme icon library standardization	Low	Not remediated — requires JS/ServiceNow (aria-hidden or visible text for glyphicon/icon fonts)	Not remediated | JS/ServiceNow | aria-hidden/aria-label on glyphicon requires widget HTML attributes.
79	Images & Non-Text	SVG without title/desc	Inline SVGs lack <title> or aria-labelledby, violating WCAG 1.1.1.	All SVGs have title or desc for screen readers.	Inspect SVGs in litmus widget; confirm announced properly.	Add <title> elements to SVGs in core-overrides	CSS rule for SVG accessibility	a11y.scss SVG block	Theme SVG component standard	Low	Not remediated — requires JS/ServiceNow (<title>/<desc> inside inline SVGs in widgets)	Not remediated | JS/ServiceNow | SVG <title>/<desc> in inline SVG widget templates.
80	Images & Non-Text	Video without captions	Embedded videos lack captions or transcript links, violating WCAG 1.2.2 and 1.2.4.	All videos have captions or transcript option.	Test video player; confirm caption availability.	Add caption track or transcript link in core-overrides	CSS styling for video controls	a11y.scss video accessibility rules	Theme media widget enhancement	Medium	Not remediated — requires JS/ServiceNow (video captions/transcripts in media widget configuration)	Not remediated | JS/ServiceNow | Video captions/transcripts in media widget configuration.
81	Images & Non-Text	Missing alt on logo	ServiceNow logo and custom brand images lack proper alt text or have generic text, violating WCAG 1.1.1. Screen reader users hear nothing meaningful about the portal identity.	All logo/brand images have descriptive alt text such as 'ServiceNow Logo - Company Portal'.	Inspect logo with screen reader or axe-core in litmus widget; confirm meaningful announcement.	Add alt='[Company] ServiceNow Portal' to img tags in header widget templates	CSS rule with aria-label fallback for background logos	a11y.scss enforcement for .logo class	Theme record image alt standardization	Low	Not remediated — requires JS/ServiceNow (logo alt text in header widget HTML)	Not remediated | JS/ServiceNow | Logo alt in header/branding widget HTML. Duplicates issue 76 with SN-specific wording. No .logo rules in repo.
82	Images & Non-Text	Chart images without data table alternative	Dashboard charts are images or canvas without accessible data table equivalent, violating WCAG 1.1.1 and 1.4.5. Users cannot access chart data.	Every chart has an accessible data table alternative or aria-describedby data summary.	Open chart widget, run axe, and confirm alternative data access.	Provide hidden data table below chart in core-overrides templates	CSS vars + aria-describedby linking	a11y.scss rule enforcing data table presence	Theme dashboard widget standard with table fallback	Medium	Not remediated — requires JS/ServiceNow (chart data table alternative in dashboard widget markup)	Not remediated | JS/ServiceNow | Chart data table/aria-describedby in dashboard widgets. Duplicates issue 77.
83	Images & Non-Text	Icon fonts without text equivalent	Glypicon and custom icon fonts lack text equivalents or aria-labels, violating WCAG 1.1.1. Screen readers announce garbage or nothing.	All icon fonts have proper aria-hidden or accompanying text/aria-label.	Inspect icon-heavy areas with screen reader; confirm no garbage announcements.	"Add aria-hidden=""true"" to .glyphicon classes in core-overrides"	CSS rule for all icon fonts	a11y.scss block with aria-label suggestions	Theme icon library standardization	Low	Not remediated — requires JS/ServiceNow (aria-hidden/aria-label on glyphicon/icon fonts)	Not remediated | JS/ServiceNow | aria-hidden/aria-label on icon fonts in widget HTML. Duplicates issue 78.
84	Images & Non-Text	SVG without title/desc	Inline SVGs lack <title> and <desc> elements, violating WCAG 1.1.1. Screen readers cannot convey meaning of vector icons.	All meaningful SVGs have <title> and <desc> elements.	Inspect SVG icons in litmus widget with axe; confirm accessibility.	Add <title> and <desc> in SVG templates in core-overrides	CSS rule for SVG accessibility	a11y.scss enforcement for SVG elements	Theme SVG component guidelines	Low	Not remediated — requires JS/ServiceNow (<title>/<desc> in inline SVG widget templates)	Not remediated | JS/ServiceNow | SVG title/desc in widget templates. Duplicates issue 79.
85	Images & Non-Text	Video without captions	Embedded videos in knowledge articles or widgets lack captions or transcripts, violating WCAG 1.2.2 and 1.2.4.	All videos have synchronized captions or full transcript link.	Play video in widget; confirm captions available.	Add track elements or caption links in video embeds	CSS styling for caption controls	a11y.scss rule requiring captions	Theme video embed standard	Medium	Not remediated — requires JS/ServiceNow (video captions/transcripts in media widget configuration)	Not remediated | JS/ServiceNow | Video captions in KB/media widgets. Duplicates issue 80 with article scope.
86	Images & Non-Text	Audio without transcript	Audio files or voice notes lack transcripts, violating WCAG 1.2.1.	All audio content has a visible transcript link or inline transcript.	Inspect audio players; confirm transcript availability.	Add transcript link below audio in core-overrides	CSS styling for transcript section	a11y.scss enforcement	Theme audio component standard	Low	Not remediated — requires JS/ServiceNow (audio transcript links in widget/content markup)	Not remediated | JS/ServiceNow | Audio transcript links in widget/content markup. No audio rules in repo.
87	Images & Non-Text	Decorative icons announced	Decorative icons are announced by screen readers despite being purely visual, causing noise.	All decorative icons are silent to screen readers.	Test with screen reader; confirm no unnecessary announcements.	"Global aria-hidden=""true"" on decorative icon classes"	CSS rule targeting known decorative classes	a11y.scss comprehensive decorative icon block	Theme icon classification guideline	Low	Not remediated — requires JS/ServiceNow (aria-hidden on decorative icon classes in widget HTML)	Not remediated | JS/ServiceNow | aria-hidden on decorative icons in widget HTML. Related to issues 42, 78.
88	Images & Non-Text	Background images with text	Background CSS images contain overlaid text without alt equivalent, violating WCAG 1.4.5 and 1.1.1.	Background images with text have accessible text alternative or are converted to real text.	Inspect pages with background images; confirm text is accessible.	Convert text-on-image to real HTML text where possible in core	CSS fallback with aria-hidden on bg images	a11y.scss rule for text-on-image cases	Theme design guideline against text in background	Medium	Partially remediated — extend a11y.scss for text-on-image cases; real text conversion requires ServiceNow widget/content changes	Partially remediated | a11y.scss + ServiceNow | --sb-text-contrast and line-height 1.6 help real HTML overlay text; bg-image text needs SN design/widget conversion.
