IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
51	Screen Reader / ARIA	Required fields only marked with *	Required fields are marked only with a red asterisk (*) without the word "required" or aria-required="true", violating WCAG 3.3.2 Labels or Instructions and 1.3.1. Screen reader users and low-vision users do not know a field is mandatory until submission error.	Every required field clearly indicates "required" in visible text + aria-required="true" + * is supplementary.	Focus any required field in litmus widget or catalog form with screen reader; confirm announcement includes "required".	Add aria-required="true" and visible "(required)" text span in core-overrides widget templates	CSS rule to style and show required indicator persistently	a11y.scss block enforcing aria-required on all * elements	Theme form field template standardization	Low
52	Screen Reader / ARIA	Error messages not linked to controls	Form error messages appear but are not associated with the failing input via aria-describedby or aria-invalid, violating WCAG 3.3.1 Error Identification and 3.3.3 Error Suggestion. Screen readers do not connect the error to the field.	Every error message is linked via aria-describedby and the input has aria-invalid="true" when erroneous.	Submit invalid form in litmus widget; confirm screen reader reads error immediately after the field.	Add aria-describedby pointing to error ID in core-overrides	CSS var + aria-invalid styling	a11y.scss rule enforcing error association	Theme script include for dynamic form error linking	Medium
53	Screen Reader / ARIA	Table missing caption or summary	Data tables lack <caption> or aria-labelledby summary, violating WCAG 1.3.1 and 4.1.2. Screen reader users have no overview of what the table contains (e.g. "Incident list" or "My tickets").	Every data table has a visible or aria-hidden caption that describes its purpose.	Run axe-core on any table in litmus widget; confirm zero "table missing caption" violations.	Add <caption> or aria-labelledby in table HTML templates in core-overrides	CSS rule to style caption visibly when needed	a11y.scss block enforcing table summary	Theme list/table widget standardization	Low
54	Screen Reader / ARIA	Table headers missing scope	Table <th> elements lack scope="col" or scope="row", violating WCAG 1.3.1. Screen readers cannot correctly associate headers with cells in complex data tables.	Every table header has explicit scope="col" or scope="row" and complex tables use id/headers pairing.	Inspect any table in litmus widget with axe-core; confirm zero scope violations.	Override table th with scope attributes via template notes in core-overrides	CSS rule for header styling	a11y.scss enforcement block for all tables	Theme table component template update	Low
55	Screen Reader / ARIA	Duplicate IDs in page	Multiple elements share the same ID (common in repeated widgets or Bootstrap components), violating WCAG 4.1.2 and causing screen readers/JS to reference the wrong element.	All IDs on the page are unique; no duplicate ID warnings.	Run axe-core on any page; confirm zero "duplicate ID" violations.	Add unique ID prefixes via widget variables in core-overrides	CSS selector rule to flag duplicates (for dev)	a11y.scss note + JS ID uniqueness check	Theme script include for ID deduplication	Low
56	Screen Reader / ARIA	ARIA hidden misused	Elements that should be hidden from screen readers (e.g. collapsed panels, loading spinners) are not marked with aria-hidden="true", or visible elements are incorrectly hidden, violating WCAG 4.1.2 and causing incorrect announcements or missed content.	All hidden elements have aria-hidden="true" when not visible and visible elements have no erroneous aria-hidden.	Toggle collapsed sections or loading states in litmus widget with screen reader; confirm only visible content is announced.	Add aria-hidden="true" to collapsed/ hidden classes in core-overrides	CSS rule for dynamic visibility states	a11y.scss block enforcing correct aria-hidden usage	Theme script for dynamic ARIA hidden management	Medium
57	Screen Reader / ARIA	Role="button" on non-interactive	Non-clickable elements (static text, images, or divs) have role="button" applied incorrectly, violating WCAG 4.1.2 and confusing screen readers into expecting interactivity.	No non-interactive elements have role="button"; only true buttons have the role.	Run axe-core on page; confirm zero "role on non-interactive" violations.	Remove erroneous role="button" via broad selector in core-overrides	CSS rule to override invalid roles	a11y.scss enforcement with role correction	Theme widget HTML cleanup standard	Low
58	Screen Reader / ARIA	Progressbar ARIA values missing	Progress bars lack aria-valuenow, aria-valuemin, aria-valuemax, or aria-labelledby, violating WCAG 4.1.2. Screen readers announce only "progress bar" without percentage or context.	Every progress bar has complete ARIA value attributes and label.	Inspect progress bars in litmus widget with screen reader; confirm full announcement of value and label.	Add aria-valuenow etc. via JS polyfill or template in core-overrides	CSS rule with ARIA attributes for progress	a11y.scss block enforcing progressbar ARIA	Theme script include for progress ARIA	Medium
59	Screen Reader / ARIA	Accordion expand/collapse not announced	Accordion panels do not announce expanded/collapsed state or use proper heading/role, violating WCAG 4.1.2 and 2.4.3. Screen reader users cannot tell if sections are open or closed.	Every accordion announces state change and has proper role="region" + aria-expanded.	Expand/collapse accordions in litmus widget with screen reader; confirm clear announcement.	Add aria-expanded and role attributes in core-overrides templates	CSS var + focus for accordion headers	Full a11y.scss accordion ARIA block	Theme accordion widget standardization	Low
60	Screen Reader / ARIA	Breadcrumb ARIA navigation	Breadcrumbs lack role="navigation" aria-label="Breadcrumb" or proper list structure, violating WCAG 4.1.2 and 1.3.1. Screen readers treat them as plain links without context.	Breadcrumbs have role="navigation" aria-label="Breadcrumb" and are marked as list.	Tab through breadcrumbs in litmus widget with screen reader; confirm landmark and context announcement.	Add role="navigation" aria-label in core-overrides	CSS rule for breadcrumb styling	a11y.scss enforcement block	Theme breadcrumb component update	Low
